
> wink-backend@0.1.0 start
> node src/index.js

Server listening on port 12001
user connected XXyB-Q9DtL0qi3Q5AAAB
user disconnected XXyB-Q9DtL0qi3Q5AAAB
user connected f7dU-APPonLdx7FZAAAD
user disconnected f7dU-APPonLdx7FZAAAD
user connected ZgWWwLDzMQRxRn5_AAAF
user disconnected ZgWWwLDzMQRxRn5_AAAF
user connected ed3t6sBf5W6CT8G8AAAH
user disconnected ed3t6sBf5W6CT8G8AAAH
user connected PZbhN2mEUySpck0sAAAJ
user disconnected PZbhN2mEUySpck0sAAAJ
user connected FUf1snkR1vpX4_-BAAAL
user disconnected FUf1snkR1vpX4_-BAAAL
user connected 99HktvxlaEXOdhxpAAAN
user disconnected 99HktvxlaEXOdhxpAAAN
user connected TsAuD7Og4NBIj7kAAAAP
user disconnected TsAuD7Og4NBIj7kAAAAP
user connected -iJyzoLrroh43bR2AAAR
user disconnected -iJyzoLrroh43bR2AAAR
user connected 8WzvUmeD1FZX02YfAAAT
user disconnected 8WzvUmeD1FZX02YfAAAT
